id,poilon,poilat,Taxonomy,cat
8142,-1.353076999999999,1.598587000000002,Service,Offices of Real Estate Agents and Brokers
8144,-1.1309789999999964,1.5035549999999986,Service,Hotels (except Casino Hotels) and Motels
8152,-1.3800920000000048,1.635316000000003,Health,Offices of Dentists
8155,-1.222801000000004,1.7730790000000027,Food,Full-Service Restaurants
8156,-1.2341320000000024,1.7925559999999976,Sports,Fitness and Recreational Sports Centers
8158,-1.2232840000000067,1.8453000000000017,Coffee / Tea,Snack and Nonalcoholic Beverage Bars
8168,-1.4275090000000006,1.6834759999999989,Food,Drinking Places (Alcoholic Beverages)
8171,-1.2034189999999967,1.6433350000000004,Service,Commercial Banking
8173,-1.1847219999999936,1.7256519999999966,Service,Commercial Banking
8177,-1.1676510000000064,1.7420619999999971,Food,Full-Service Restaurants
8189,-1.0909359999999992,1.7224059999999994,City / Outdoors,Nature Parks and Other Similar Institutions
8192,-1.351592999999994,1.8042080000000027,Food,Full-Service Restaurants
8194,-1.1527980000000042,1.6906740000000013,Service,Commercial Banking
8195,-1.1452529999999967,1.688594000000002,Health,Offices of Dentists
8198,-1.1305700000000058,1.9845380000000006,Food,Full-Service Restaurants
8201,-1.2487689999999958,1.773304000000003,Health,Offices of Dentists
8202,-1.2747849999999943,1.6346289999999968,Sports,Fitness and Recreational Sports Centers
8216,-1.467999000000006,1.5444880000000012,Service,Commercial Banking
8223,-1.4764059999999972,1.5522980000000004,Food,Full-Service Restaurants
8225,-1.3289330000000064,1.8721120000000013,City / Outdoors,Nature Parks and Other Similar Institutions
8226,-1.3588259999999934,1.6260800000000017,Food,Full-Service Restaurants
8235,-1.1030650000000009,1.5248909999999967,Food,Full-Service Restaurants
8252,-1.1894920000000013,1.7310009999999991,City / Outdoors,Nature Parks and Other Similar Institutions
8273,-1.003434999999996,1.833444,Coffee / Tea,Snack and Nonalcoholic Beverage Bars
8280,-1.3094909999999942,1.6453360000000004,Food,Full-Service Restaurants
8287,-1.3473089999999956,1.5940840000000023,Food,Full-Service Restaurants
8297,-1.1312439999999953,1.7415599999999998,Food,Full-Service Restaurants
8298,-1.002679999999998,1.833128000000002,Service,Commercial Banking
8300,-1.434230999999997,1.9809709999999967,Service,Offices of Real Estate Agents and Brokers
8304,-1.438408999999993,1.9589870000000005,Food,Full-Service Restaurants
